ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
1221,"YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",43,3.86,0.18,7.5,59,0.116,2,7.5,143,0.12,177,1.1,0,1.2
1222,"YOGURT,CHOC,NONFAT MILK,FORT W/ VITAMIN D",112,3.53,0,23.53,135,0,1,14.97,88,0.42,339,0,0,1.2
1223,"PROTEIN SUPP,MILK BSD,MUSCLE MILK,PDR",411,45.71,17.14,18.5,329,1.553,21,5.71,500,8.57,1129,30,7.07,5
1224,"PROTEIN SUPP,MILK BSD,MUSCLE MILK LT,PDR",396,50,12,22,250,1.087,10,4,1200,12,840,42,9.45,7
1225,DULCE DE LECHE,315,6.84,7.35,55.35,129,4.534,29,49.74,251,0.17,350,2.6,0.2,0.2
1226,"EGG SUB,LIQ OR FRZ,FAT FREE",48,10,0,2,199,0,0,2,73,1.98,213,0.5,1.59,1.6
1227,"CHEESE,DRY WHITE,QUESO SECO",325,24.51,24.35,2.04,1808,13.718,78,0.55,661,0.18,116,,0.49,1.8
1228,"CHEESE,FRSH,QUESO FRESCO",299,18.09,23.82,2.98,751,12.94,69,2.32,566,0.2,129,0,0.37,2.7
1229,"CHEESE,WHITE,QUESO BLANCO",310,20.38,24.31,2.53,704,13.661,70,1.76,690,0.18,126,,0.47,0.7
1230,"MILK,BTTRMLK,FLUID,WHL",62,3.21,3.31,4.88,105,1.899,11,4.88,115,0.03,135,0,0.07,1.3
1231,"YOGURT,VANILLA FLAVOR,LOWFAT MILK,SWTND W/ LO CAL SWTNR",86,4.93,1.25,13.8,66,0.752,5,5.43,171,0.07,219,0.8,0.02,0
1235,"YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR",104,4.4,0.8,19.7,81,0.488,4,12.61,159,0.04,339,0.7,0.08,0
1236,"ICE CRM,SOFT SERVE,CHOC",222,4.1,13,22.2,61,7.46,91,21.16,131,0.21,177,0.8,0.61,0.7
1237,"ICE CRM,BAR OR STK,CHOC COVERED",331,4.1,24.1,24.5,68,13.202,28,18.3,119,0.29,305,0,0.42,0.2
1238,ICE CRM SNDWCH,237,4.29,8.57,37.14,129,2.317,21,18.57,86,0.26,115,0,0.4,0
1239,ICE CRM COOKIE SNDWCH,240,3.7,7.4,39.6,162,1.663,6,21.3,73,1.1,68,0,0.4,0
1240,"ICE CRM CONE,CHOC COVERED,W/ NUTS,FLAVORS OTHER THAN CHOC",354,5.21,21.88,34.38,94,11.458,21,25,63,0,222,0,0.18,0.1
1241,"ICE CRM SNDWCH,MADE W/ LT ICE CRM,VANILLA",186,4.29,3.04,39.64,146,0.821,7,17.86,30,0.09,41,0,0.14,0
1242,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200,5.71,2.86,42.86,164,0.821,21,6.58,86,0,41,0,0.14,0
1243,"FAT FREE ICE CRM,NO SUGAR ADDED,FLAVORS OTHER THAN CHOC",129,4.41,0,27.94,110,0,0,8.82,147,0,196,0,0,0
1244,"MILK DSSRT BAR,FRZ,MADE FROM LOWFAT MILK",147,4.41,1.47,33.09,92,0.81,7,22.06,184,0.53,316,0.9,0.2,0.1
1250,"NUTRITIONAL SUPP FOR PEOPLE W/ DIABETES,LIQ",88,4.4,3.08,11.88,92,0.232,2,2.64,110,1.98,176,26.4,1.46,1.1
1251,"CHEESE,MEXICAN BLEND",358,23.54,28.51,1.75,696,17.027,95,1.23,659,0.59,85,0,0.25,0.5
1252,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",310,18.18,22.63,8.52,1272,13.291,79,6.57,1433,0.96,273,0,0.77,7
1253,"CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",371,18.13,31.79,3.7,1671,18.057,100,2.26,1045,0.63,132,0,0.8,0.6
1254,"CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D",330,16.86,25.63,8.56,1284,15.057,98,5.59,682,0.26,255,0,0.63,0.5
1255,"EGG,WHL,RAW,FRZ,SALTED",138,10.97,10.07,0.83,3663,3.178,387,0.07,55,1.71,128,0,0.8,1.5
2001,"ALLSPICE,GROUND",263,6.09,8.69,72.12,77,2.55,0,,661,7.06,1044,39.2,,0
2002,ANISE SEED,337,17.6,15.9,50.02,16,0.586,0,,646,36.96,1441,21,,0
2003,"SPICES,BASIL,DRIED",233,22.98,4.07,47.75,76,2.157,0,1.71,2240,89.8,2630,0.8,10.7,0
2004,"SPICES,BAY LEAF",313,7.61,8.36,74.97,23,2.28,0,,834,43,529,46.5,,0
2005,CARAWAY SEED,333,19.77,14.59,49.9,17,0.62,0,0.64,689,16.23,1351,21,2.5,0
2006,"SPICES,CARDAMOM",311,10.76,6.7,68.47,18,0.68,0,,383,13.97,1119,21,,0
2007,CELERY SEED,392,18.07,25.27,41.35,160,2.19,0,0.67,1767,44.9,1400,17.1,1.07,0
2008,"CHERVIL,DRIED",237,23.2,3.9,49.1,83,0.169,0,,1346,31.95,4740,50,,0
2009,CHILI POWDER,282,13.46,14.28,49.7,1640,2.462,0,7.19,330,17.3,1950,0.7,38.14,0
2010,"CINNAMON,GROUND",247,3.99,1.24,80.59,10,0.345,0,2.17,1002,8.32,431,3.8,2.32,0
2011,"CLOVES,GROUND",274,5.97,13,65.53,277,3.952,0,2.38,632,11.83,1020,0.2,8.82,0
2012,"CORIANDER LEAF,DRIED",279,21.93,4.78,52.1,211,0.115,0,7.27,1246,42.46,4466,566.7,1.03,0
2013,CORIANDER SEED,298,12.37,17.77,54.99,35,0.99,0,,709,16.32,1267,21,,0
2014,CUMIN SEED,375,17.81,22.27,44.24,168,1.535,0,2.25,931,66.36,1788,7.7,3.33,0
2015,CURRY POWDER,325,12.66,13.81,58.15,52,2.237,0,2.76,478,29.59,1543,11.4,21.99,0
2016,DILL SEED,305,15.98,14.54,55.17,20,0.73,0,,1516,16.33,1186,21,,0
2017,"DILL WEED,DRIED",253,19.96,4.36,55.82,208,0.234,0,,1784,48.78,3308,50,,0
2018,FENNEL SEED,345,15.8,14.87,52.29,88,0.48,0,,1196,18.54,1694,21,,0
2019,FENUGREEK SEED,323,23,6.41,58.35,67,1.46,0,,176,33.53,770,3,,0
2020,GARLIC POWDER,331,16.55,0.73,72.73,60,0.249,0,2.43,79,5.65,1193,1.2,0.67,0
2021,"GINGER,GROUND",335,8.98,4.24,71.62,27,2.599,0,3.39,114,19.8,1320,0.7,0,0
2022,"MACE,GROUND",475,6.71,32.38,50.5,80,9.51,0,,252,13.9,463,21,,0
2023,"MARJORAM,DRIED",271,12.66,7.04,60.56,77,0.529,0,4.09,1990,82.71,1522,51.4,1.69,0
2024,"SPICES,MUSTARD SD,GROUND",508,26.08,36.24,28.09,13,1.989,0,6.79,266,9.21,738,7.1,5.07,0
2025,"NUTMEG,GROUND",525,5.84,36.31,49.29,16,25.94,0,28.49,184,3.04,350,3,0,0
2026,ONION POWDER,341,10.41,1.04,79.12,73,0.219,0,6.63,384,3.9,985,23.4,0.27,0
2027,"SPICES,OREGANO,DRIED",265,9,4.28,68.92,25,1.551,0,4.09,1597,36.8,1260,2.3,18.26,0
2028,PAPRIKA,282,14.14,12.89,53.99,68,2.14,0,10.34,229,21.14,2280,0.9,29.83,0
2029,"PARSLEY,DRIED",292,26.63,5.48,50.64,452,1.378,0,7.27,1140,22.04,2683,125,8.96,0
2030,"PEPPER,BLACK",251,10.39,3.26,63.95,20,1.392,0,0.64,443,9.71,1329,0,1.04,0
2031,"PEPPER,RED OR CAYENNE",318,12.01,17.27,56.63,30,3.26,0,10.34,148,7.8,2014,76.4,29.83,0
2032,"PEPPER,WHITE",296,10.4,2.12,68.61,5,0.626,0,,265,14.31,73,21,,0
2033,POPPY SEED,525,17.99,41.56,28.13,26,4.517,0,2.99,1438,9.76,719,1,1.77,0
2034,POULTRY SEASONING,307,9.59,7.53,65.59,27,3.29,0,3.08,996,35.3,684,12,1.32,0
2035,PUMPKIN PIE SPICE,342,5.76,12.6,69.28,52,6.53,0,7.76,682,19.71,663,23.4,1.93,0
2036,"ROSEMARY,DRIED",331,4.88,15.22,64.06,50,7.371,0,,1280,29.25,955,61.2,,0
2037,SAFFRON,310,11.43,5.85,65.37,148,1.586,0,,111,11.1,1724,80.8,,0
2038,"SAGE,GROUND",315,10.63,12.75,60.73,11,7.03,0,1.71,1652,28.12,1070,32.4,7.48,0
2039,"SAVORY,GROUND",272,6.73,5.91,68.73,24,3.26,0,,2132,37.88,1051,50,,0
2041,"SPICES,TARRAGON,DRIED",295,22.77,7.24,50.22,62,1.881,0,,1139,32.3,3020,50,,0
2042,"SPICES,THYME,DRIED",276,9.11,7.43,63.94,55,2.73,0,1.71,1890,123.6,814,50,7.48,0
2043,"TURMERIC,GROUND",354,7.83,9.88,64.93,38,3.12,0,3.21,183,41.42,2525,25.9,3.1,0
2044,"BASIL,FRESH",23,3.15,0.64,2.65,4,0.041,0,0.3,177,3.17,295,18,0.8,0
2045,"DILL WEED,FRSH",43,3.46,1.12,7.02,61,0.06,0,,208,6.59,738,85,,0
2046,"MUSTARD,PREPARED,YELLOW",67,4.37,4.01,5.33,1135,0.248,0,0.86,58,1.51,138,1.5,0.36,0
2047,"SALT,TABLE",0,0,0,0,38758,0,0,0,24,0.33,8,0,0,0
2048,"VINEGAR,CIDER",21,0,0,0.93,5,0,0,0.4,7,0.2,73,0,0,0
2049,"THYME,FRSH",101,5.56,1.68,24.45,9,0.467,0,,405,17.45,609,160.1,,0
2050,VANILLA EXTRACT,288,0.06,0.06,12.65,9,0.01,0,12.65,11,0.12,148,0,0,0
2051,"VANILLA EXTRACT,IMITN,ALCOHOL",237,0.05,0,2.41,4,,0,,0,0.13,98,0,,0
2052,"VANILLA EXTRACT,IMITN,NO ALCOHOL",56,0.03,0,14.4,3,0,0,14.4,3,0.05,0,0,0,0
2053,"VINEGAR,DISTILLED",18,0,0,0.04,2,0,0,0.04,6,0.03,2,0,0,0
2054,"CAPERS,CANNED",23,2.36,0.86,4.89,2964,0.233,0,0.41,40,1.67,40,4.3,0.88,0
2055,"HORSERADISH,PREPARED",48,1.18,0.69,11.29,314,0.09,0,7.99,56,0.42,246,24.9,0.01,0
2063,"ROSEMARY,FRESH",131,3.31,5.86,20.7,26,2.838,0,,317,6.65,668,21.8,,0
2064,"PEPPERMINT,FRESH",70,3.75,0.94,14.89,31,0.246,0,,243,5.08,569,31.8,,0
2065,"SPEARMINT,FRESH",44,3.29,0.73,8.41,30,0.191,0,,199,11.87,458,13.3,,0
2066,"SPEARMINT,DRIED",285,19.93,6.03,52.04,344,1.577,0,,1488,87.47,1924,0,,0
2068,"VINEGAR,RED WINE",19,0.04,0,0.27,8,0,,0,6,0.45,39,0.5,,
2069,"VINEGAR,BALSAMIC",88,0.49,0,17.03,23,0,,14.95,27,0.72,112,0,,
2073,"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",188,0,0,56.29,8068,0,0,18.76,,6.75,,45,,
3019,GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,330,0.82,2.24,76.61,14,0.361,0,68.65,18,1.05,312,179.9,0.96,0
3217,ZWIEBACK,426,10.1,9.7,74.2,227,2.525,8,12.5,20,0.6,305,5.3,2.44,0
3819,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",483,16.5,22,54.8,260,19.186,4,54,440,8.8,590,38,9.8,9.3
3820,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",88,3.33,4.48,8.57,52,3.953,1,7.4,88,1.75,118,7.6,2,1.6
3849,"In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",514,12.5,27,56,173,11.37,16,51,590,8.9,565,79,9,9.8
3860,"CHILD FORMULA,ABBOTT NUTR,PEDIASURE,RTF (FORMERLY ROSS)",99,2.86,4.77,11.15,36,1.256,2,10.5,93,1.34,125,9.5,1.46,1.2
3870,"CHI FORMU,ABBT NUTR,PEDIASU,RTF,W/ IRON & FIB (FORMER ROSS)",99,2.8,4.7,11.28,36,1.256,2,7.6,92,1.32,124,9.6,1.46,1.2
3968,"TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF",64,1.78,3.63,7.18,25,1.55,1,7.18,133,1.37,89,8.2,0.87,1
4001,"FAT,BEEF TALLOW",902,0,100,0,0,49.8,109,0,0,0,0,0,2.7,0.7
4002,LARD,902,0,100,0,0,39.2,95,0,0,0,0,0,0.6,2.5
4011,"SALAD DRSNG,KRAFT MAYO LT MAYO",334,0.6,32.9,8.5,633,5,35,4.2,6,0.2,52,0.3,,
4013,"SALAD DRSNG,KRAFT MAYO FAT FREE MAYO DRSNG",70,0.2,2.7,12.4,750,0.5,10,6.8,6,0.1,50,0,,
4014,"SALAD DRSNG,KRAFT MIRACLE WHIP FREE NONFAT DRSNG",84,0.2,2.7,15.5,788,0.6,9,10.3,6,0.12,49,0,,
4015,"SALAD DRSNG,RUSSIAN DRSNG",355,0.69,26.18,31.9,1133,2.39,0,17.68,13,0.6,173,6,3.32,0
4016,"SALAD DRSNG,SESAME SD DRSNG,REG",443,3.1,45.2,8.6,1000,6.2,0,8.32,19,0.6,157,0,5,0
4017,"SALAD DRSNG,1000 ISLAND,COMM,REG",370,1.09,35.06,14.64,863,5.092,26,15.18,17,1.18,107,0,4,0.1
4018,"SALAD DRSNG,MAYO TYPE,REG,W/SALT",390,0.9,33.4,23.9,711,4.9,26,6.4,14,0.2,9,0,2.06,0.1
4020,"SALAD DRSNG,FRENCH DRSNG,RED FAT",222,0.58,11.52,31.22,838,0.842,0,16.86,11,0.73,107,4.8,1,0
4021,"SALAD DRSNG,ITALIAN DRSNG,RED FAT",75,0.47,6.38,4.57,1074,0.451,6,4.55,9,0.65,85,0,0.2,0
4022,"SALAD DRSNG,RUSSIAN DRSNG,LO CAL",141,0.5,4,27.6,868,0.6,6,21.87,19,0.6,157,6,0.4,0
4023,"SALAD DRSNG,1000 ISLAND DRSNG,RED FAT",195,0.83,11.32,24.06,955,0.746,11,17.31,27,0.9,202,1.5,1,0
4025,"SALAD DRSNG,MAYO,SOYBN OIL,W/SALT",718,0.9,79.39,3.16,568,11.885,38,1.08,7,0.22,12,0,5.22,0.2
4026,"SALAD DRSNG,MAYO,SOYBN&SAFFLOWER OIL,W/SALT",717,1.1,79.4,2.7,568,8.6,59,0.48,18,0.5,34,0,22,
4027,"SALAD DRSNG,MAYO,IMITN,SOYBN",232,0.3,19.2,16,497,3.3,24,6,0,0,10,0,2,0
4028,"SALAD DRSNG,MAYO,IMITN,MILK CRM",97,2.1,5.1,11.1,504,2.8,43,,72,0.5,97,0.3,0.4,
4029,"SALAD DRSNG,MAYO,IMITN,SOYBN WO/CHOL",482,0.1,47.7,15.8,353,7.5,0,6,0,0.01,10,0,5,0
4030,"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",389,0.9,34,22.4,1000,5.1,76,15.18,14,0.2,35,0,4,0.1
4031,"SHORTENING,HOUSEHOLD,PARTIALLY HYDROG SOYBN -COTTONSEED",884,0,100,0,0,25,0,0,0,0,0,0,6.13,0
4034,"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)",884,0,100,0,0,14.9,0,0,0,0,0,0,8.1,0
4037,"OIL,RICE BRAN",884,0,100,0,0,19.7,0,0,0,0.07,0,0,32.3,
4038,"OIL,WHEAT GERM",884,0,100,0,0,18.8,0,0,0,0,0,0,149.4,0
4042,"OIL,PNUT,SALAD OR COOKING",884,0,100,0,0,16.9,0,0,0,0.03,0,0,15.69,0
4044,"OIL,SOYBN,SALAD OR COOKING",884,0,100,0,0,15.65,0,0,0,0.05,0,0,8.18,0
4047,"OIL,COCNT",862,0,100,0,0,86.5,0,0,0,0.04,0,0,0.09,0
4053,"OIL,OLIVE,SALAD OR COOKING",884,0,100,0,2,13.808,0,0,1,0.56,1,0,14.35,0
4055,"OIL,PALM",884,0,100,0,0,49.3,0,0,0,0.01,0,0,15.94,
4058,"OIL,SESAME,SALAD OR COOKING",884,0,100,0,0,14.2,0,0,0,0,0,0,1.4,0
4060,"OIL,SUNFLOWER,LINOLEIC (LESS THAN 60%)",884,0,100,0,0,10.1,0,0,0,0.03,0,0,41.08,
4073,"MARGARINE,REG,HARD,SOYBN (HYDR)",719,0.9,80.5,0.9,943,16.7,0,0,30,0,42,0.2,3.1,
4114,"SALAD DRSNG,ITALIAN DRSNG,COMM,REG",291,0.38,28.37,10.43,1018,4.474,0,8.32,7,0.63,48,0,5,0
4120,"SALAD DRSNG,FRENCH DRSNG,COMM,REG",457,0.77,44.81,15.58,836,5.648,0,15.95,24,0.8,67,3.6,5,0
4128,"VEG OIL SPRD,UNSPEC OILS,APPROX 37% FAT,W/ SALT",339,0.51,37.77,0.66,589,8.637,0,0,6,0.02,34,0.1,13.45,0
4133,"SALAD DRSNG,FRENCH,HOME RECIPE",631,0.1,70.2,3.4,658,12.6,0,,6,0.2,24,0.6,8,
4134,"SALAD DRSNG,HOME RECIPE,CKD",157,4.2,9.5,14.9,734,2.9,57,9.07,84,0.5,121,0.6,0.8,0.9
4135,"SALAD DRSNG,HOME RECIPE,VINEGAR&OIL",449,0,50.1,2.5,1,9.1,0,2.5,0,0,8,0,4.61,0
4141,"SALAD DRSNG,FRENCH DRSNG,COMM,REG,WO/ SALT",459,0.77,44.81,15.58,0,5.648,0,15.95,24,0.8,67,0,4.12,
4142,"SALAD DRSNG,FRENCH DRSNG,RED FAT,WO/ SALT",233,0.58,13.46,29.28,30,1.099,0,28.45,11,0.87,107,0,2.86,
4143,"SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT",292,0.38,28.37,10.43,30,4.474,67,8.32,7,0.63,48,0,2.61,
4144,"SALAD DRSNG,ITALIAN DRSNG,RED FAT,WO/ SALT",76,0.47,6.38,4.57,30,0.451,6,4.55,9,0.65,85,0,0.59,
4145,"SALAD DRSNG,MAYO,SOYBN OIL,WO/SALT",717,1.1,79.4,2.7,30,11.8,59,,18,0.5,34,0,,
4146,"SALAD DRSNG,FRENCH,CTTNSD,OIL,HOME RECIPE",631,0.1,70.2,3.4,658,18.2,0,,6,0.2,24,0,,
4367,"SALAD DRSNG,FRENCH DRSNG,FAT-FREE",132,0.2,0.27,32.14,853,0.037,0,16.45,5,0.58,84,0,0.02,0
4501,"OIL,COCOA BUTTER",884,0,100,0,0,59.7,0,0,0,0,0,0,1.8,
4502,"OIL,CTTNSD,SALAD OR COOKING",884,0,100,0,0,25.9,0,0,0,0,0,0,35.3,0
4506,"OIL,SUNFLOWER,LINOLEIC,(APPROX. 65%)",884,0,100,0,0,10.3,0,0,0,0,0,0,41.08,0
4510,"OIL,SAFFLOWER,SALAD OR COOKING,LINOLEIC,(OVER 70%)",884,0,100,0,0,6.203,0,0,0,0,0,0,34.1,
4511,"OIL,SAFFLOWER,SALAD OR COOKING,HI OLEIC",884,0,100,0,0,7.541,0,0,0,0,0,0,34.1,0
4513,"VEGETABLE OIL,PALM KERNEL",862,0,100,0,0,81.5,0,0,0,0,0,0,3.81,0
4514,"OIL,POPPYSEED",884,0,100,0,0,13.5,0,0,0,0,0,0,11.4,
4515,"OIL,TOMATOSEED",884,0,100,0,0,19.7,0,0,0,0,0,0,3.8,
4516,"OIL,TEASEED",884,0,100,0,0,21.1,0,0,0,0,0,0,0,
4517,"OIL,GRAPESEED",884,0,100,0,0,9.6,0,0,0,0,0,0,28.8,
4518,"OIL,CORN,INDUSTRIAL & RTL,ALLPURP SALAD OR COOKING",884,0,100,0,0,12.948,0,0,0,0,0,0,14.3,0
4520,"FAT,MUTTON TALLOW",902,0,100,0,0,47.3,102,0,0,0,0,0,2.8,0.7
4528,"OIL,WALNUT",884,0,100,0,0,9.1,0,0,0,0,0,0,0.4,0
4529,"OIL,ALMOND",884,0,100,0,0,8.2,0,0,0,0,0,0,39.2,0
4530,"OIL,APRICOT KERNEL",884,0,100,0,0,6.3,0,0,0,0,0,0,4,
4531,"OIL,SOYBN LECITHIN",763,0,100,0,0,15.005,0,0,0,0,0,0,8.18,0
4532,"OIL,HAZELNUT",884,0,100,0,0,7.4,0,0,0,0,0,0,47.2,
4534,"OIL,BABASSU",884,0,100,0,0,81.2,0,0,0,0,0,0,19.1,
4536,"OIL,SHEANUT",884,0,100,0,0,46.6,0,0,0,0,0,0,0,
4539,"SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,COMM,REG",476,1.37,51.1,4.62,1041,8.275,31,3.48,37,0.09,88,0.7,4.28,0.1
4541,"OIL,CUPU ASSU",884,0,100,0,0,53.2,0,0,0,,0,0,0.6,
4542,"FAT,CHICKEN",900,0,99.8,0,0,29.8,85,0,0,0,0,0,2.7,4.8
4543,"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED) & CTTNSD",884,0,100,0,0,18,0,0,0,0,0,0,12.1,0
4544,"SHORTENING,HOUSEHOLD,LARD&VEG OIL",900,0,100,0,0,40.3,56,0,0,0,0,0,1,0
4545,"OIL,SUNFLOWER,LINOLEIC,(PARTIALLY HYDROGENATED)",884,0,100,0,0,13,0,0,0,0,0,0,41.08,
4546,"SHORTENING BREAD,SOYBN (HYDR)&CTTNSD",884,0,100,0,0,22,0,0,0,0,0,0,6.13,
4548,"SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR)",884,0,100,0,0,27.2,0,0,0,0,0,0,6.13,0
4549,"SHORTENING INDUSTRIAL,LARD&VEG OIL",900,0,100,0,0,35.7,56,,0,0,0,0,1,
4550,"SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD",900,0,100,0,0,44.9,100,,0,0,0,0,4,
4551,"SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR)",884,0,100,0,0,91.3,0,0,0,0,0,0,1.95,0
4554,"SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD",884,0,100,0,0,25.6,0,0,0,0,0,0,6.13,0
4556,"SHORTENING FRYING (HVY DUTY),PALM (HYDR)",884,0,100,0,0,47.5,0,,0,0,0,0,19,
4559,SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,884,0,100,0,0,25.02,0,,0,0,0,0,,
4560,"SHORTENING FRYING HVY DUTY,SOYBN HYDR,LINOLEIC (LESS THAN 1%",884,0,100,0,0,21.1,0,0,0,0,0,0,6.13,
4570,"SHORTENING,CONFECTIONERY,FRACTIONATED PALM",884,0,100,0,0,65.5,0,,0,0,0,0,19,
4572,"OIL,NUTMEG BUTTER",884,0,100,0,0,90,0,0,0,0,0,0,0.2,
4573,"OIL,UCUHUBA BUTTER",884,0,100,0,0,85.2,0,0,0,0,0,0,0.6,
4574,"FAT,DUCK",882,0,99.8,0,0,33.2,100,0,0,0,0,0,2.7,4.8
4575,"FAT,TURKEY",900,0,99.8,0,0,29.4,102,0,0,0,0,0,2.9,4.8
4576,"FAT,GOOSE",900,0,99.8,0,0,27.7,100,,0,0,0,0,2.7,
4581,"OIL,AVOCADO",884,0,100,0,0,11.56,,,0,0,0,0,,
4582,"OIL,CANOLA",884,0,100,0,0,7.365,0,0,0,0,0,0,17.46,0
4583,"OIL,MUSTARD",884,0,100,0,0,11.582,,,0,0,0,0,,
4584,"OIL,SUNFLOWER,HI OLEIC (70% & OVER)",884,0,100,0,0,9.859,0,0,0,0,0,0,41.08,0
4585,"MARGARINE-LIKE,MARGARINE-BUTTER BLEND,SOYBN OIL & BUTTER",714,0.31,80.32,0.77,633,14.198,12,0,10,0.04,22,0.1,3.88,0
4586,"SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,SOYBN (HYDR)",884,0,100,0,0,20.001,0,0,0,0,0,0,6.13,
4587,"SHORTENING,SPL PURPOSE FOR BAKING,SOYBN (HYDR) PALM&CTTNSD",884,0,100,0,0,28.843,0,0,0,0,0,0,6.13,
4588,"OIL,OAT",884,0,100,0,0,19.62,0,0,0,0,0,0,14.4,
4589,"FISH OIL,COD LIVER",902,0,100,0,0,22.608,570,,0,0,0,0,,250
4590,"FISH OIL,HERRING",902,0,100,0,0,21.29,766,,0,0,0,0,,
4591,"FISH OIL,MENHADEN",902,0,100,0,0,30.427,521,,0,0,0,0,,
4592,"FISH OIL,MENHADEN,FULLY HYDR",902,0,100,0,0,95.6,500,,0,0,0,0,,
4593,"FISH OIL,SALMON",902,0,100,0,0,19.872,485,,0,0,0,0,,
4594,"FISH OIL,SARDINE",902,0,100,0,0,29.892,710,,0,0,0,0,,8.3
4595,"SHORTENING,MULTIPURPOSE,SOYBN (HYDR)&PALM (HYDR)",884,0,100,0,0,30.423,0,,0,0,0,0,,
4600,"MARGARINE-LIKE,VEG OIL-BUTTER SPRD,TUB,W/ SALT",362,1,40,1,786,7.238,0,0,24,0.04,36,0.1,4.47,0
4601,"BUTTER,LT,STK,W/SALT",509,3.3,55.1,0,450,34.321,106,0,48,1.09,71,0,1.58,1
4602,"BUTTER,LT,STK,WO/SALT",499,3.3,55.1,0,36,34.321,106,0,48,1.09,71,0,1.58,1
4606,"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",889,0,98.59,0,545,44.79,101,0,0,0,0,0,0.59,2.5
4609,"ANIMAL FAT,BACON GREASE",897,0,99.5,0,150,39.004,95,0,0,0,0,0,0.6,2.5
4610,"MARGARINE,REG,80% FAT,COMP,STK,W/ SALT",717,0.16,80.71,0.7,751,15.189,0,0,3,0.06,18,0.2,9,0
4611,"MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT",713,0.22,80.17,0.75,657,14.224,0,0,3,0,17,0.1,15.43,0
4612,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STK,W/ SALT",537,0.12,60.39,0.69,785,10.884,0,0,21,0,30,0.1,5,0
4613,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,TUB,W/ SALT",533,0.17,59.81,0.86,615,12.086,1,0,21,0,30,0.1,21.12,0
4614,"MARGARINE-LIKE,VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,W/ SALT",526,0.6,59.17,0,700,10.042,1,0,21,0,30,0.1,5,0
4615,"SHORTENING,VEG,HOUSEHOLD,COMP",884,0,99.97,0,4,24.98,0,0,1,0.07,0,0,6.13,0
4617,"MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT",717,0.16,80.71,0.7,2,15.189,0,0,3,0.06,18,0.2,9,0
4618,"MARGARINE,REG,80% FAT,COMP,TUB,WO/ SALT",713,0.22,80.17,0.75,28,14.224,0,0,3,0,17,0.1,15.43,0
4620,"VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT",533,0.17,59.81,0.86,2,12.086,1,0,21,0,30,0.1,21.12,0
4624,"MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT",43,1.5,3,2.5,833,0.416,1,0,38,0.03,50,0.3,5,0
4626,"MARGARINE-LIKE SPRD W/ YOGURT,70% FAT,STK,W/ SALT",630,0.3,70,0.5,590,13.3,0,0,20,0.01,25,0.1,5,0
4627,"MARGARINE-LIKE SPRD W/ YOGURT,APPROX 40% FAT,TUB,W/ SALT",330,2,35,2,630,7,0,0,50,0.02,64,0.2,5,0
4628,"MARGARINE,80% FAT,STK,INCL REG & HYDR CORN & SOYBN OILS",717,0.16,80.71,0.7,654,15.189,0,,3,0.12,18,,5.23,
4629,"MARGARINE, VEG OIL SPRD,70% FAT,SOYBN & PART HYDR SOYBN,STK",628,0.26,70.22,1.53,700,13.631,0,,7,0.12,46,,5.59,
